company,ticker,published_at,document_subtype,period,fiscal_year,fiscal_quarter,period_length_months,source_file,net_sales_usd_m,cost_of_sales_usd_m,gross_profit_usd_m,gross_margin_pct,sga_usd_m,depreciation_amortization_usd_m,operating_income_usd_m,operating_margin_pct,interest_expense_usd_m,tax_provision_usd_m,effective_tax_rate_pct,net_earnings_usd_m,basic_eps_usd,diluted_eps_gaap_usd,basic_weighted_avg_shares_m,diluted_weighted_avg_shares_m,cash_and_equivalents_usd_m,receivables_usd_m,merchandise_inventory_usd_m,capex_usd_m,operating_cash_flow_usd_m,dividends_paid_usd_m,long_term_debt_usd_m
Home Depot,HD,2016-05-17,10-Q,Q1 2016,2016,Q1,3,filings/2016-05-17__hd-us-20160517-q1-10q__437642.md,22762,14971,7791,,4281,433,3077,,244,1037,,1803,1.45,1.44,,1252,3257,1989,13219,325,3636,862,20904
Home Depot,HD,2016-05-17,8-K,Q1 2016,2016,Q1,3,filings/2016-05-17__hd-us-20160517-q1-8k__437610.md,22762,14971,7791,,4281,433,3077,,244,1037,,1803,1.45,1.44,,1252,3257,1989,13219,,,,20904
Home Depot,HD,2016-08-16,10-Q,Q2 2016,2016,Q2,3,filings/2016-08-16__hd-us-20160816-q2-10q__437635.md,26472,17545,8927,,4388,436,4103,,236,1434,,2441,1.98,1.97,,1240,4018,1995,12323,697,6877,1718,20900
Home Depot,HD,2016-08-16,8-K,Q2 2016,2016,Q2,3,filings/2016-08-16__hd-us-20160816-q2-8k__437608.md,26472,17545,8927,,4388,436,4103,,236,1434,,2441,1.98,1.97,,1240,4018,1995,12323,,,,20900
Home Depot,HD,2016-11-15,10-Q,Q3 2016,2016,Q3,3,filings/2016-11-15__hd-us-20161115-q3-10q__437647.md,23154,15112,8042,,4280,442,3320,,246,1115,,1969,1.61,1.6,,1229,3589,1995,13241,1145,7919,2567,22338
Home Depot,HD,2016-11-15,8-K,Q3 2016,2016,Q3,3,filings/2016-11-15__hd-us-20161115-q3-8k__437607.md,23154,15112,8042,,4280,442,3320,,246,1115,,1969,1.61,1.6,,1229,3589,1995,13241,,,,22338
Home Depot,HD,2017-02-21,10-K,FY 2016,2016,,12,filings/2017-02-21__hd-us-20170221-q4-10k__437574.md,100,62282,34.2,,18.1,1.9,14.2,,1,4.8,,8.4,6.47,6.45,,1234,2538,2029,12549,1621,9783,2530,22349
Home Depot,HD,2017-02-21,8-K,FY 2016,2016,,12,filings/2017-02-21__hd-us-20170221-q4-8k__437606.md,22207,14654,7553,,4183,443,2927,,246,948,,1744,1.45,1.44,,1211,2538,2029,12549,,,,22349
Home Depot,HD,2017-03-23,10-K,FY 2016,2016,,12,filings/2017-03-23__hd-us-20170323-fy-10k__778688.md,100,62282,34.2,,18.1,1.9,14.2,,1,4.8,,8.4,6.47,6.45,,1234,2538,2029,12549,1621,9783,2530,22349
Home Depot,HD,2017-05-16,10-Q,Q1 2017,2017,Q1,3,filings/2017-05-16__hd-us-20170516-q1-10q__437632.md,23887,15733,8154,,4361,444,3349,,254,1094,,2014,1.68,1.67,1198,1204,3565,2164,13609,458,4564,1069,22393
Home Depot,HD,2017-05-16,8-K,Q1 2017,2017,Q1,3,filings/2017-05-16__hd-us-20170516-q1-8k__437605.md,23887,15733,8154,,4361,444,3349,,254,1094,,2014,1.68,1.67,1198,1204,3565,2164,13609,,,,22393
Home Depot,HD,2017-08-15,10-Q,Q2 2017,2017,Q2,3,filings/2017-08-15__hd-us-20170815-q2-10q__437640.md,28108,18647,9461,,4549,449,4463,,265,1542,,2672,2.26,2.25,1183,1189,4830,2187,12868,846,7862,2130,24422
Home Depot,HD,2017-08-15,8-K,Q2 2017,2017,Q2,3,filings/2017-08-15__hd-us-20170815-q2-8k__437602.md,28108,18647,9461,,4549,449,4463,,265,1542,,2672,2.26,2.25,1183,1189,4830,2187,12868,,,,24422
Home Depot,HD,2017-11-14,10-Q,Q3 2017,2017,Q3,3,filings/2017-11-14__hd-us-20171114-q3-10q__437638.md,25026,16378,8648,,4514,454,3680,,269,1268,,2165,1.85,1.84,1168,1174,3549,2166,13419,1354,9741,3174,24266
Home Depot,HD,2017-11-14,8-K,Q3 2017,2017,Q3,3,filings/2017-11-14__hd-us-20171114-q3-8k__437600.md,25026,16378,8648,,4514,454,3680,,269,1268,,2165,1.85,1.84,1168,1174,3549,2166,13419,,,,24266
Home Depot,HD,2018-02-20,10-K,FY 2017,2017,,12,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,100904,66548,34356,,17864,1811,14681,,1057,5068,,8630,7.33,7.29,1178,1184,3595,1952,12748,1897,12031,4212,24267
Home Depot,HD,2018-02-20,8-K,FY 2017,2017,,12,filings/2018-02-20__hd-us-20180220-q4-8k__437599.md,23883,15790,8093,,4440,464,3189,,269,1164,,1779,1.53,1.52,1160,1167,3595,1952,12748,,,,24267
Home Depot,HD,2018-03-22,10-K,FY 2017,2017,,12,filings/2018-03-22__hd-us-20180322-fy-10k__778687.md,100904,66548,34356,,17864,1811,14681,,1057,5068,,8630,7.33,7.29,1178,1184,3595,1952,12748,1897,12031,4212,24267
Home Depot,HD,2018-05-15,10-Q,Q1 2018,2018,Q1,3,filings/2018-05-15__hd-us-20180515-q1-10q__437628.md,24947,16330,8617,,4779,457,3381,,261,738,,2404,2.09,2.08,1152,1158,3599,2296,14432,556,3981,1189,24244
Home Depot,HD,2018-05-15,8-K,Q1 2018,2018,Q1,3,filings/2018-05-15__hd-us-20180515-q1-8k__437594.md,24947,16330,8617,,4779,457,3381,,261,738,,2404,2.09,2.08,1152,1158,3599,2296,14432,556,3981,1189,24244
Home Depot,HD,2018-08-14,10-Q,Q2 2018,2018,Q2,3,filings/2018-08-14__hd-us-20180814-q2-10q__437634.md,30463,20098,10365,,5004,460,4901,,272,1149,,3506,3.06,3.05,1144,1149,3490,2164,14044,1091,7907,2373,23295
Home Depot,HD,2018-08-14,8-K,Q2 2018,2018,Q2,3,filings/2018-08-14__hd-us-20180814-q2-8k__437595.md,30463,20098,10365,,5004,460,4901,,272,1149,,3506,3.06,3.05,1144,1149,3490,2164,14044,1091,7997,2373,23295
Home Depot,HD,2018-11-13,10-Q,Q3 2018,2018,Q3,3,filings/2018-11-13__hd-us-20181113-q3-10q__437630.md,26302,17151,9151,,4808,473,3870,,249,779,,2867,2.53,2.51,1135,1141,1764,2171,14754,1711,10036,3548,23332
Home Depot,HD,2018-11-13,8-K,Q3 2018,2018,Q3,3,filings/2018-11-13__hd-us-20181113-q3-8k__437591.md,26302,17151,9151,,4808,473,3870,,249,779,,2867,2.53,2.51,1135,1141,1764,2171,14754,1711,10036,3548,23332
Home Depot,HD,2019-02-26,10-K,FY 2018,2018,,12,filings/2019-02-26__hd-us-20190226-q4-10k__437570.md,108203,71043,37160,,19513,1870,15530,,1051,3435,,11121,9.78,9.73,1137,1143,1778,1936,13925,2442,13038,4704,26807
Home Depot,HD,2019-02-26,8-K,FY 2018,2018,,12,filings/2019-02-26__hd-us-20190226-q4-8k__437590.md,26491,17464,9027,,4922,480,3378,,269,769,,2344,2.1,2.09,1116,1121,1778,1936,13925,2442,13038,4704,26807
Home Depot,HD,2019-03-28,10-K,FY 2019,2019,,12,filings/2019-03-28__hd-us-20190328-fy-10k__778686.md,108203,71043,37160,,19513,1870,15530,,1051,3435,,11121,9.78,9.73,1137,1143,1778,1936,13925,2442,13038,4704,26807
Home Depot,HD,2019-05-21,10-Q,Q1 2019,2019,Q1,3,filings/2019-05-21__hd-us-20190521-q1-10q__437621.md,26381,17364,9017,,4940,480,3597,,288,811,,2513,2.28,2.27,1101,1106,1882,2317,15495,681,4575,1499,26804
Home Depot,HD,2019-05-21,8-K,Q1 2019,2019,Q1,3,filings/2019-05-21__hd-us-20190521-q1-8k__437587.md,26381,17364,9017,,4940,480,3597,,288,811,,2513,2.28,2.27,1101,1106,1882,2317,15495,,,,26804
Home Depot,HD,2019-08-20,10-Q,Q2 2019,2019,Q2,3,filings/2019-08-20__hd-us-20190820-q2-10q__437627.md,30839,20407,10432,,5044,492,4896,,302,1134,,3479,3.18,3.17,1095,1099,2547,2274,14741,1246,8497,1492,27064
Home Depot,HD,2019-08-20,8-K,Q2 2019,2019,Q2,3,filings/2019-08-20__hd-us-20190820-q2-8k__437585.md,30839,20407,10432,,5044,492,4896,,302,1134,,3479,3.18,3.17,1095,1099,2547,2274,14741,,,,27064
Home Depot,HD,2019-11-19,10-Q,Q3 2019,2019,Q3,3,filings/2019-11-19__hd-us-20191119-q3-10q__437624.md,27223,17836,9387,,4942,498,3947,,302,898,,2769,2.54,2.53,1089,1094,2193,2231,15711,1891,10664,1486,26597
Home Depot,HD,2019-11-19,8-K,Q3 2019,2019,Q3,3,filings/2019-11-19__hd-us-20191119-q3-8k__437584.md,27223,17836,9387,,4942,498,3947,,302,898,,2769,2.54,2.53,1089,1094,2193,2231,15711,,,,26597
Home Depot,HD,2020-02-25,10-K,FY 2019,2019,,12,filings/2020-02-25__hd-us-20200225-q4-10k__437568.md,110225,72653,37572,,19740,1989,15843,,1201,3473,,11242,10.29,10.25,1093,1097,2133,2106,14531,2678,13723,5958,28670
Home Depot,HD,2020-02-25,8-K,FY 2019,2019,,12,filings/2020-02-25__hd-us-20200225-q4-8k__437581.md,25782,17046,8736,,4814,519,3403,,309,630,,2481,2.29,2.28,1083,1088,2133,2106,14531,,,,28670
Home Depot,HD,2020-03-25,10-K,FY 2019,2019,,12,filings/2020-03-25__hd-us-20200325-fy-10k__778726.md,110225,72653,37572,,19740,1989,15843,,1201,3473,,11242,10.29,10.25,1093,1097,2133,2106,14531,2678,13723,5958,28670
Home Depot,HD,2020-05-19,10-Q,Q1 2020,2020,Q1,3,filings/2020-05-19__hd-us-20200519-q1-10q__437622.md,28260,18635,9625,,5829,520,3276,,324,724,,2245,2.09,2.08,1073,1077,8696,2610,14989,586,5737,1611,31622
Home Depot,HD,2020-05-19,8-K,Q1 2020,2020,Q1,3,filings/2020-05-19__hd-us-20200519-q1-8k__437579.md,28260,18635,9625,,5829,520,3276,,324,724,,2245,2.09,2.08,1073,1077,8696,2610,14989,,,,31622
Home Depot,HD,2020-08-17,10-Q,H1 2020,2020,,3,filings/2020-08-17__hd-us-20200817-q2-10q__101839.md,38053,25112,12941,,6355,519,6067,,346,1398,,4332,4.04,4.02,1073,1077,14139,2562,13498,1032,14829,1612,32370
Home Depot,HD,2020-08-17,8-K,Q2 2020,2020,Q2,3,filings/2020-08-17__hd-us-20200817-q2-8k__101842.md,38053,25112,12941,,6355,519,6067,,346,1398,,4332,4.04,4.02,1073,,14139,2562,13498,,,,32370
Home Depot,HD,2020-11-17,10-Q,Q3 2020,2020,Q3,3,filings/2020-11-17__hd-us-20201117-q3-10q__101837.md,33536,22080,11456,,6076,528,4852,,340,1091,,3432,3.2,3.18,1073,1078,14652,2666,16155,1503,17415,1614,32831
Home Depot,HD,2020-11-17,8-K,Q3 2020,2020,Q3,3,filings/2020-11-17__hd-us-20201117-q3-8k__101838.md,33536,22080,11456,,6076,528,4852,,340,1091,,3432,3.2,3.18,1073,,14652,2666,16155,,,,32831
Home Depot,HD,2021-02-23,10-K,FY 2020,2020,,12,filings/2021-02-23__hd-us-20210223-q4-10k__101817.md,132110,87257,44853,,24447,2128,18278,,1347,4112,,12866,11.98,11.94,1074,1078,7895,2992,16627,2463,18839,6451,35822
Home Depot,HD,2021-02-23,8-K,FY 2020,2020,,12,filings/2021-02-23__hd-us-20210223-q4-8k__101835.md,32261,21430,10831,,6187,561,4083,,337,899,,2857,2.66,2.65,1074,1078,7895,2992,16627,,,,35822
Home Depot,HD,2021-03-24,10-K,FY 2020,2020,,12,filings/2021-03-24__hd-us-20210324-fy-10k__778674.md,132110,87257,44853,,24447,2128,18278,,1347,4112,,12866,11.98,11.94,1074,1078,7895,2992,16627,2463,18839,6451,35822
Home Depot,HD,2021-05-18,10-Q,Q1 2021,2021,Q1,3,filings/2021-05-18__hd-us-20210518-q1-10q__101836.md,37500,24758,12742,,6374,587,5781,,339,1303,,4145,3.87,3.86,1071,1075,6648,3624,19178,524,6310,1775,34697
Home Depot,HD,2021-05-18,8-K,Q1 2021,2021,Q1,3,filings/2021-05-18__hd-us-20210518-q1-8k__101823.md,37500,24758,12742,,6374,587,5781,,339,1303,,4145,3.87,3.86,1071,,6648,3624,19178,,,,34697
Home Depot,HD,2021-08-17,10-Q,Q2 2021,2021,Q2,3,filings/2021-08-17__hd-us-20210817-q2-10q__101831.md,41118,27453,13665,,6433,593,6639,,326,1511,,4807,4.54,4.53,1058,1062,4566,3322,18909,1042,9947,1751,33746
Home Depot,HD,2021-08-17,8-K,Q2 2021,2021,Q2,3,filings/2021-08-17__hd-us-20210817-q2-8k__101848.md,41118,27453,13665,,6433,593,6639,,326,1511,,4807,4.54,4.53,1058,,4566,3322,18909,,,,33746
Home Depot,HD,2021-11-16,10-Q,Q3 2021,2021,Q3,3,filings/2021-11-16__hd-us-20211116-q3-10q__101833.md,36820,24257,12563,,6168,600,5795,,341,1340,,4129,3.94,3.92,1049,1053,5067,3533,20582,1737,13386,1738,36712
Home Depot,HD,2021-11-16,8-K,Q3 2021,2021,Q3,3,filings/2021-11-16__hd-us-20211116-q3-8k__101850.md,36820,24257,12563,,6168,600,5795,,341,1340,,4129,3.94,3.92,1049,,5067,3533,20582,,,,36712
Home Depot,HD,2022-02-22,10-K,FY 2022,2022,,12,filings/2022-02-22__hd-us-20220222-q4-10k__101834.md,151157,100325,50832,,25406,2386,23040,,1347,5304,,16433,15.59,15.53,1054,1058,2343,3426,22068,2566,16571,6985,36604
Home Depot,HD,2022-02-22,8-K,FY 2021,2021,,12,filings/2022-02-22__hd-us-20220222-q4-8k__101852.md,35719,23857,11862,,6431,606,4825,,341,1150,,3352,3.23,3.21,1038,1043,2343,3426,22068,,,,36604
Home Depot,HD,2022-03-23,10-K,FY 2021,2021,,12,filings/2022-03-23__hd-us-20220323-fy-10k__778666.md,151157,100325,50832,,25406,2386,23040,,1347,5304,,16433,15.59,15.53,1054,1058,2343,3426,22068,2566,16571,6985,36604
Home Depot,HD,2022-05-17,10-Q,Q1 2022,2022,Q1,3,filings/2022-05-17__hd-us-20220517-q1-10q__101822.md,38908,25763,13145,,6610,606,5929,,372,1329,,4231,4.11,4.09,1030,1034,2844,3936,25297,704,3789,1962,39158
Home Depot,HD,2022-05-17,8-K,Q1 2022,2022,Q1,3,filings/2022-05-17__hd-us-20220517-q1-8k__101820.md,38908,25763,13145,,6610,606,5929,,372,1329,,4231,4.11,4.09,1030,1034,2844,3936,25297,,,,39158
Home Depot,HD,2022-08-16,10-Q,Q2 2022,2022,Q2,3,filings/2022-08-16__hd-us-20220816-q2-10q__101824.md,43792,29309,14483,,6657,616,7210,,381,1658,,5173,5.06,5.05,1023,1025,1259,3725,26088,1447,7182,1948,39271
Home Depot,HD,2022-08-16,8-K,Q2 2022,2022,Q2,3,filings/2022-08-16__hd-us-20220816-q2-8k__101829.md,43792,29309,14483,,6657,616,7210,,381,1658,,5173,5.06,5.05,1023,1025,1259,3725,26088,,,,39271
Home Depot,HD,2022-11-15,10-Q,Q3 2022,2022,Q3,3,filings/2022-11-15__hd-us-20221115-q3-10q__101826.md,38872,25648,13224,,6468,608,6148,,413,1403,,4339,4.25,4.24,1020,1023,2462,3732,25719,2216,10021,1946,41740
Home Depot,HD,2022-11-15,8-K,Q3 2022,2022,Q3,3,filings/2022-11-15__hd-us-20221115-q3-8k__101843.md,38872,25648,13224,,6468,608,6148,,413,1403,,4339,4.25,4.24,1020,1023,2462,3732,25719,,,,41740
Home Depot,HD,2023-02-21,10-K,FY 2022,2022,,12,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,157403,104625,52778,,26284,2455,24039,,1617,5372,,17105,16.74,16.69,1022,1025,2757,3317,24886,3119,14615,7789,41962
Home Depot,HD,2023-02-21,8-K,FY 2022,2022,,12,filings/2023-02-21__hd-us-20230221-q4-8k__101845.md,35831,23905,11926,,6549,625,4752,,451,982,,3362,3.31,3.3,1015,1018,2757,3317,24886,3119,14615,7789,41962
Home Depot,HD,2023-03-15,10-K,FY 2022,2022,,12,filings/2023-03-15__hd-us-20230315-fy-10k__778722.md,157403,104625,52778,,26284,2455,24039,,1617,5372,,17105,16.74,16.69,1022,1025,2757,3317,24886,3119,14615,7789,41962
Home Depot,HD,2023-05-16,10-Q,Q1 2023,2023,Q1,3,filings/2023-05-16__hd-us-20230516-q1-10q__101841.md,37257,24700,12557,,6355,651,5551,,474,1237,,3873,3.83,3.82,1010,1013,1260,4213,25371,905,5614,2118,40915
Home Depot,HD,2023-05-16,8-K,Q1 2023,2023,Q1,3,filings/2023-05-16__hd-us-20230516-q1-8k__101818.md,37257,24700,12557,,6355,651,5551,,474,1237,,3873,3.83,3.82,1010,1013,1260,4213,25371,,,,40915
Home Depot,HD,2023-08-15,10-Q,Q2 2023,2023,Q2,3,filings/2023-08-15__hd-us-20230815-q2-10q__101816.md,42916,28759,14157,,6915,653,6589,,469,1502,,4659,4.66,4.65,1000,1003,2814,3836,23265,1697,12205,2097,40754
Home Depot,HD,2023-08-15,8-K,Q2 2023,2023,Q2,3,filings/2023-08-15__hd-us-20230815-q2-8k__101814.md,42916,28759,14157,,6915,653,6589,,469,1502,,4659,4.66,4.65,1000,1003,2814,3836,23265,,,,40754
Home Depot,HD,2023-11-14,10-Q,Q3 2023,2023,Q3,3,filings/2023-11-14__hd-us-20231114-q3-10q__101828.md,37710,24972,12738,,6649,683,5406,,487,1158,,3810,3.83,3.81,996,999,2058,3932,22805,2368,16439,2089,40567
Home Depot,HD,2023-11-14,8-K,Q3 2023,2023,Q3,3,filings/2023-11-14__hd-us-20231114-q3-8k__101815.md,37710,24972,12738,,6649,683,5406,,487,1158,,3810,3.83,3.81,996,999,2058,3932,22805,,,,40567
Home Depot,HD,2024-02-20,10-K,FY 2023,2023,,12,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,152669,101709,50960,,26598,2673,21689,,1943,4781,,15143,15.16,15.11,999,1002,3760,3328,20976,3226,21172,8383,42743
Home Depot,HD,2024-02-20,8-K,FY 2023,2023,,12,filings/2024-02-20__hd-us-20240220-q4-8k__101851.md,34786,23278,11508,,6679,686,4143,,513,884,,2801,2.83,2.82,991,994,3760,3328,20976,,,,42743
Home Depot,HD,2024-03-13,10-K,FY 2023,2023,,12,filings/2024-03-13__hd-us-20240313-fy-10k__778665.md,152669,101709,50960,,26598,2673,21689,,1943,4781,,15143,15.16,15.11,999,1002,3760,3328,20976,3226,21172,8383,42743
Home Depot,HD,2024-05-14,10-Q,Q1 2024,2024,Q1,3,filings/2024-05-14__hd-us-20240514-q1-10q__101821.md,36418,23985,12433,,6667,687,5079,,485,1051,,3600,3.64,3.63,989,992,4264,4105,22416,847,5497,2229,42060
Home Depot,HD,2024-05-14,8-K,Q1 2024,2024,Q1,3,filings/2024-05-14__hd-us-20240514-q1-8k__101830.md,36418,23985,12433,,6667,687,5079,,485,1051,,3600,3.64,3.63,989,992,4264,4105,22416,,,,42060
Home Depot,HD,2024-08-13,10-Q,Q2 2024,2024,Q2,3,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,43175,28759,14416,,7144,738,6534,,573,1484,,4561,4.61,4.6,990,992,1613,5503,23060,1566,10906,2231,51869
Home Depot,HD,2024-08-13,8-K,Q2 2024,2024,Q2,3,filings/2024-08-13__hd-us-20240813-q2-8k__101849.md,43175,28759,14416,,7144,738,6534,,573,1484,,4561,4.61,4.6,990,992,1613,5503,23060,1566,10906,4460,51869
Home Depot,HD,2024-11-12,10-Q,Q3 2024,2024,Q3,3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,40217,26792,13425,,7212,795,5418,,625,1175,,3648,3.68,3.67,991,993,1531,5782,23897,2384,15139,2234,50058
Home Depot,HD,2024-11-12,8-K,Q3 2024,2024,Q3,3,filings/2024-11-12__hd-us-20241112-q3-8k__101844.md,40217,26792,13425,,7212,795,5418,,625,1175,,3648,3.68,3.67,991,993,1531,5782,23897,2384,15139,6694,50058
Home Depot,HD,2025-02-25,10-K,FY 2025,2025,,12,filings/2025-02-25__hd-us-20250225-q4-10k__132164.md,159514,106206,53308,,28748,3034,21526,,2321,4600,,14806,14.96,14.91,990,993,1659,4903,23451,3485,19810,8929,48485
Home Depot,HD,2025-02-25,8-K,FY 2024,2024,,12,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md,39704,26670,13034,,7725,814,4495,,638,890,,2997,3.02,3.02,991,994,1659,4903,23451,3485,19810,8929,48485
Home Depot,HD,2025-03-20,10-K,FY 2025,2025,,12,filings/2025-03-20__hd-us-20250320-fy-10k__778723.md,159514,106206,53308,,28748,3034,21526,,2321,4600,,14806,14.96,14.91,990,993,1659,4903,23451,3485,19810,8929,48485
Home Depot,HD,2025-04-07,10-Q,FY 2025,2025,,12,filings/2025-04-07__hd-us-20250407-filing-2__437651.md,,,,,,,21526,,,4600,,14806,,14.91,,,,,,,,,
Home Depot,HD,2025-05-20,10-Q,Q1 2025,2025,Q1,3,filings/2025-05-20__hd-us-20250520-q1-10q__101832.md,39856,26397,13459,,7530,796,5133,,615,1109,,3433,3.46,3.45,992,994,1369,5886,25763,806,4325,2286,47343
Home Depot,HD,2025-05-20,8-K,Q1 2025,2025,Q1,3,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md,39856,26397,13459,,7530,796,5133,,615,1109,,3433,3.46,3.45,992,994,1369,5886,25763,806,4325,2286,47343
Home Depot,HD,2025-08-19,10-Q,Q2 2025 and H1 2025,2025,Q2,3,filings/2025-08-19__hd-us-20250819-q2-10q__148871.md,45277,30152,15125,,7764,806,6555,,575,1454,,4551,4.59,4.58,992,994,2804,5878,24843,-1723,8968,-2288,45917
Home Depot,HD,2025-08-19,8-K,Q2 2025,2025,Q2,3,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md,45277,30152,15125,,7764,806,6555,,575,1454,,4551,4.59,4.58,992,994,2804,5878,24843,1723,8968,4574,45917
Home Depot,HD,2025-08-20,8-K,Q2 2025,2025,Q2,3,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md,45277,30152,15125,,7764,806,6555,,575,1454,,4551,4.59,4.58,992,994,2804,5878,24843,1723,8968,4574,45917
Home Depot,HD,2025-08-25,10-Q,Q2 and H1 2025,2025,Q2,3,filings/2025-08-25__hd-us-20250825-q2-10q__144029.md,45277,30152,15125,,7764,806,6555,,575,1454,,4551,4.59,4.58,992,994,2804,5878,24843,1723,8968,2288,45917
Home Depot,HD,2025-11-18,10-Q,Q3 2025,2025,Q3,3,filings/2025-11-18__hd-us-20251118-q3-10q__437649.md,41352,27537,13815,,7636,826,5353,,628,1156,,3601,3.63,3.62,993,995,1684,6765,26203,2621,12978,2289,46343
Home Depot,HD,2025-11-18,8-K,Q3 2025,2025,Q3,3,filings/2025-11-18__hd-us-20251118-q3-8k__359994.md,41352,27537,13815,,7636,826,5353,,628,1156,,3601,3.63,3.62,993,995,1684,6765,26203,2621,12978,6863,46343
Home Depot,HD,2026-02-24,10-K,FY 2025,2025,,12,filings/2026-02-24__hd-us-20260224-q4-10k__940544.md,164683,109818,54865,,30702,3273,20890,,2412,4446,,14156,14.26,14.23,993,995,1389,5597,25817,3679,16325,9152,46341
Home Depot,HD,2026-02-24,8-K,FY 2025,2025,,12,filings/2026-02-24__hd-us-20260224-q4-8k-2__904387.md,164683,109818,54865,,30702,3273,20890,,2412,4446,,14156,14.26,14.23,993,995,1389,5597,25817,3679,16325,9152,46341
Home Depot,HD,2026-02-24,8-K,Q4 2025,2025,Q4,3,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md,38198,25732,12466,,7772,845,3849,,594,727,,2571,2.59,2.58,993,995,1389,5597,25817,3679,16325,9152,46341
Home Depot,HD,2026-03-18,10-K,FY 2025,2025,,12,filings/2026-03-18__hd-us-20260318-fy-10k__828355.md,164683,109818,54865,,30702,3273,20890,,2412,4446,,14156,14.26,14.23,993,995,1389,5597,25817,3679,16325,9152,46341
