company,ticker,published_at,period,source_file,division,country,contract_type,specialism,sector_type,enterprise_channel,net_fees,net_fee_share_pct,reported_growth_pct,lfl_growth_pct,operating_profit,conversion_rate_pct
Hays plc,LSE:HAS,2019-10-15,Q1 2020,filings/2019-10-15__has-ln-20191015-q1-8k__547669.md,Germany,Germany,temp,,,,,,-1,-1,,
Hays plc,LSE:HAS,2020-02-20,H1 FY2020,filings/2020-02-20__has-ln-20200220-h1-8k__545729.md,Germany,Germany,,Automotive,,,37,,-6,-6,,-2
Hays plc,LSE:HAS,2020-02-20,H1 FY2020,filings/2020-02-20__has-ln-20200220-h1-8k__545729.md,Rest of World,USA,,,,,16,,-6,-6,,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k-2__671211.md,Australia & New Zealand,Australia,temp,,,,17,,-1,-1,-1,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k-2__671211.md,ANZ,Australia,,,,,11,,-3,-3,-3,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k-2__671211.md,Germany,Germany,,,,,9,,-3,-3,-3,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,Germany,Germany,temp,,,,6,,-2,-2,-2,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,Rest of World,,,,public,,19,,-2,-2,-2,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,ANZ,Australia,temp,,,,-1,,-2,-2,-2,-5
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,Germany,Germany,,,,,39,,-7,-7,-2,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,Rest of World,Japan,,,,,13,,-7,-7,-2,
Hays plc,LSE:HAS,2020-08-27,FY 2020,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,United Kingdom & Ireland,Australia,temp,Accountancy & Finance,public,,30,30,-6.6,-6.6,,
Hays plc,LSE:HAS,2021-02-18,H1 2021,filings/2021-02-18__has-ln-20210218-h1-8k__119751.md,Germany,Germany,,Automotive,,,37,,-6,-6,2,-2
Hays plc,LSE:HAS,2021-07-15,Q4 2021,filings/2021-07-15__has-ln-20210715-q4-8k__119740.md,Germany,Germany,,,,,38,,19,19,,
Hays plc,LSE:HAS,2021-07-15,Q4 2021,filings/2021-07-15__has-ln-20210715-q4-8k__119740.md,Rest of World,,,,,,28,,19,19,,
Hays plc,LSE:HAS,2021-08-26,FY 2021,filings/2021-08-26__has-ln-20210826-h2-8k-2__671213.md,Germany,Germany,,,,,5,,-3,-3,-3,
Hays plc,LSE:HAS,2021-08-26,FY 2021,filings/2021-08-26__has-ln-20210826-h2-8k__119734.md,Germany,Germany,permanent,,,,7,,-2,-2,-2,
Hays plc,LSE:HAS,2021-08-26,FY 2021,filings/2021-08-26__has-ln-20210826-h2-8k__119734.md,Rest of World,,temp,,,,6,,-2,-2,-2,
